ville,url,adresse,email,telephone
nimes,https://agenceauto.com/fr/fr/agences/nimes,"7 Rue de la grande terre, 30132 Caissargues",julien.rappin@agenceauto.com,
nogent-le-rotrou,https://agenceauto.com/fr/fr/agences/nogent-le-rotrou,"2 Avenue du Maréchal Foch, 28400 Nogent-le-Rotrou",nogentlerotrou@agenceauto.com,
palaiseau,https://agenceauto.com/fr/fr/agences/palaiseau,"5 Avenue du 1er Mai, 91120 Palaiseau",henri.oechslin@agenceauto.com,
ploermel-1,https://agenceauto.com/fr/fr/agences/ploermel-1,,ploermel@agenceauto.com,
pont-audemer,https://agenceauto.com/fr/fr/agences/pont-audemer,,pont-audemer@agenceauto.com,
pont-leveque,https://agenceauto.com/fr/fr/agences/pont-leveque,,lisieux@agenceauto.com,
pontarlier,https://agenceauto.com/fr/fr/agences/pontarlier,"1 rue de la Chaussée, 25300 Doubs",pontarlier@agenceauto.com,
pornic,https://agenceauto.com/fr/fr/agences/pornic,"60 Boulevard de Linz, 44210 Pornic",pornic@agenceauto.com,
quimper,https://agenceauto.com/fr/fr/agences/quimper,"474 Route de Bénodet, 29000 Quimper",quimper@agenceauto.com,
rennes-nord,https://agenceauto.com/fr/fr/agences/rennes-nord,"6 Boulevard D'émeraude - Parking Poltronesofa, 35760 Montgermont",rennesnord@agenceauto.com,"02.99.54.96.05, 07.80.42.78.36"
rodez,https://agenceauto.com/fr/fr/agences/rodez,"21 rue Saint Firmin, 12850 Onet-le-Château",rodez@agenceauto.com,
saint-brieuc,https://agenceauto.com/fr/fr/agences/saint-brieuc,"56 RUE de Paris, 22000 Saint Brieuc",saintbrieuc@agenceauto.com,
saint-louis,https://agenceauto.com/fr/fr/agences/saint-louis,"57 rue du Loup, 68220 Hésingue",saintlouis@agenceauto.com,
saint-quentin,https://agenceauto.com/fr/fr/agences/saint-quentin,"130 RUE DE PARIS, 02100 Saint-Quentin",st-quentin@agenceauto.com,
saint-die-des-vosges,https://agenceauto.com/fr/fr/agences/saint-die-des-vosges,"652 Rue d'Alsace, 88100 Sainte-Marguerite",saintdie@agenceauto.com,
saint-genis-pouilly,https://agenceauto.com/fr/fr/agences/saint-genis-pouilly,"15 rue louis et auguste lumière, 01630 Saint-Genis-Pouilly",ferney01@agenceauto.com,
saint-malo,https://agenceauto.com/fr/fr/agences/saint-malo,"4 RUE du Fort, 35430 Saint-Père-Marc-En-Poulet",david.lagogue@agenceauto.com,
sant-cugat-del-valles,https://agenceauto.com/fr/fr/agences/sant-cugat-del-valles,,barcelona@agenceauto.com,
selestat,https://agenceauto.com/fr/fr/agences/selestat,"57 Route de Strasbourg, 67600 Sélestat",selestat@agenceauto.com,
senlis,https://agenceauto.com/fr/fr/agences/senlis,"47 rue du Général de Gaulle, 60700 Fleurines",senlis@agenceauto.com,
sete,https://agenceauto.com/fr/fr/agences/sete,"4 QUAI Louis Pasteur, 34200 Sete",sete@agenceauto.com,
strasbourg-nord,https://agenceauto.com/fr/fr/agences/strasbourg-nord,"37 Route de Brumath, 67800 Hoenheim",strasbourgnord@agenceauto.com,
tignieu-jameyzieu,https://agenceauto.com/fr/fr/agences/tignieu-jameyzieu,,samuel.dossantos@agenceauto.com,
toulouse-fontenilles,https://agenceauto.com/fr/fr/agences/toulouse-fontenilles,"3 Impasse de Gascogne - ZA de l'Espèche, 31470 Fontenilles",fontenilles@agenceauto.com,
toulouse-nord,https://agenceauto.com/fr/fr/agences/toulouse-nord,"2 allée de Longueterre, 31850 Montrabé",ivan.jeunang@agenceauto.com,
toulouse-sud-est-labege,https://agenceauto.com/fr/fr/agences/toulouse-sud-est-labege,"71 Rue Ampère, 31670 Labège",walid.belkoussa@agenceauto.com,
tours,https://agenceauto.com/fr/fr/agences/tours,"9 rue Edouard Branly, 37170 Chambray-lès-Tours",tours@agenceauto.com,
troyes,https://agenceauto.com/fr/fr/agences/troyes,"2 rue de Rome, 10300 Sainte-Savine",troyes@agenceauto.com,
tulle,https://agenceauto.com/fr/fr/agences/tulle,"1 Rue de la migration, 19000 Tulle",tulle@agenceauto.com,
valenciennes,https://agenceauto.com/fr/fr/agences/valenciennes,"225 Avenue de Denain, 59300 Valenciennes",valenciennes@agenceauto.com,
vannes,https://agenceauto.com/fr/fr/agences/vannes,"5 Avenue Président Franklin Roosevelt, 56000 Vannes",vannes@agenceauto.com,
vernon,https://agenceauto.com/fr/fr/agences/vernon,"5 Zone Artisanale de Toisy, 27620 Gasny",vernon@agenceauto.com,
vesoul,https://agenceauto.com/fr/fr/agences/vesoul,"100 BOULEVARD DES ALLIES, 70000 Vesoul",vesoul@agenceauto.com,
viroflay,https://agenceauto.com/fr/fr/agences/viroflay,"150 Avenue du Général Leclerc, 78220 Viroflay",viroflay@agenceauto.com,"06 63 73 83 34, 06 76 50 27 12"
wasquehal,https://agenceauto.com/fr/fr/agences/wasquehal,"2 rue du centre, 59290 Wasquehal",villeneuvedascq@agenceauto.com,
yerville,https://agenceauto.com/fr/fr/agences/yerville,"115 Rue des laboureurs Zone d'activités du bois de l'arc, 76760 Yerville",yerville@agenceauto.com,
