reseau,nom_ville,adresse,email,telephone,url
TransakAuto,Agence BLOIS,"24 E ROUTE NATIONAL, 41260 LA CHAUSSEE SAINT-VICTOR",blois@transakauto.com,02 54 46 32 38,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-blois
TransakAuto,Agence BOLLENE,"1615 CHEMIN DE LA DECELLE, 26130 SAINT-PAUL-TROIS-CHATEAUX",bollene@transakauto.com,04 28 95 16 90,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bollene
TransakAuto,Agence BORDEAUX EYSINES,"50 AVENUE RENÉ ANTOUNE, 33320 EYSINES",bordeaux@transakauto.com,05 33 51 13 89,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bordeaux-eysines
TransakAuto,Agence BORDEAUX RIVE DROITE,"3 RUE DES FRERES LUMIERES, 33560 CARBON-BLANC",bordeaux.rivedroite@transakauto.com,09 87 44 17 84,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bordeaux-rive-droite
TransakAuto,Agence BOURG-EN-BRESSE,"482 RUE DU CALIDON, 1440 VIRIAT",lcauto@transacautos.com,06 58 61 63 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bourg-en-bresse
TransakAuto,Agence BOURGES,"101/111 RUE DE LA GARENNE, 18230 SAINT DOULCHARD BOURGES",bourges@transakauto.com,02 48 02 21 05,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bourges
TransakAuto,Agence BOURGOIN-JAILLEU,"225 AVENUE DES MARRONNIERS, 38300 BOURGOIN-JALLIEU",bourgoin@transakauto.com,04 37 03 32 68,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bourgoin
TransakAuto,Agence BREST,"14 AVENUE BARON LACROSSE, 29850 GOUESNOU",brest@transakauto.com,02 98 04 64 51,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-brest
TransakAuto,Agence BRIE-COMTE-ROBERT,"2 ALLÉE FRANCOIS ARAGO, 77170 BRIE-COMTE-ROBERT",briecomterobert@transakauto.com,01 83 88 92 87,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-brie-comte-robert
TransakAuto,Agence BRIGNOLES,"ZA DES CAVIERES, 83170 CAMPS LA SOURCE",brignoles@transakauto.com,06 66 65 81 72,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-brignoles
TransakAuto,Agence BRIVE-LA-GAILLARDE,"1 Av. de la libération, 19360 Malemort",brivelagaillarde@transakauto.com,06 60 51 09 65,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-brive-la-gaillarde
TransakAuto,"Agence BRUXELLES, BELGIQUE","RUE LEOPOLD 1ER, 181, 1020 BRUXELLES",bruxelles@transakauto.com,32 451 01 21 92,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bruxelles
TransakAuto,Agence CADAUJAC,"482 RUE DU COURDOUNEY, 33140 CADAUJAC",cadaujac@transakauto.com,09 88 55 28 09,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cadaujac
TransakAuto,Agence CAEN,"8 RUE DU FOUR A CHAUX ZONE LAZARRO 3, 14460 COLOMBELLES",caen@transakauto.com,02 31 72 00 98,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-caen
TransakAuto,Agence CAHORS,"9 CHEM. DU PONT DE CAMPAGNE,, 46000 CAHORS",cahors@transakauto.com,05 65 21 04 58,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cahors
TransakAuto,Agence CALUIRE-ET-CUIRE,"84, AVENUE DE LA POTERIE, 69890 LA TOUR DE SALAGNY",tsklyonnord@intermediaireauto.com,04 81 91 92 25,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lyon-nord
TransakAuto,Agence CAMBRAI,"24 RUE DES CHAUDRONNIERS, 59400 CAMBRAI",cambrai@transakauto.com,03 27 74 11 38,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cambrai
TransakAuto,Agence CANNES,"1018 AVENUE DU CAMPON, 6110 LE CANNET",cannes06@transakauto.com,04 65 84 19 13,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cannes
TransakAuto,Agence CAPBRETON,"153 ZA DU HOUSQUIT, 40530 LABENNE",capbreton@transakauto.com,07 89 23 94 65,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-capbreton
TransakAuto,Agence CARCASSONNE,"8 RUE JEAN ANTOINE CHAPTAL, 11000 CARCASSONNE",carcassonne@transakauto.com,06 65 13 61 21,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-carcassonne
TransakAuto,Agence CASTRES,"24 IMPASSE LOUIS AMPERE, 81580 SOUAL",castres@transakauto.com,09 86 42 66 89,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-castres
TransakAuto,Agence CERGY,"4 RUE HEINRICH HERTZ, 95300 ENNERY",cergy@transakauto.com,06 33 75 04 36,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cergy
TransakAuto,Agence CHALLANS,"10 RUE LE CORBUSIER, 85300 CHALLANS",challans@transakauto.com,02 51 55 74 84,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-challans
TransakAuto,Agence CHALON-SUR-SAONE,"3 RUE GABRIEL LIPPMANN, 71880 CHATENOY-LE-ROYAL",chalon-sur-saone@transakauto.com,0385411985,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chalon-sur-saone
TransakAuto,Agence CHAMBERY,"2577 AVENUE DES LANDIERS, 73000 CHAMBERY",chambery@transakauto.com,04 80 81 95 28,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chambery
TransakAuto,Agence CHAMBOURCY,"68 RUE DE LA CROIX DE L’ORME   , 78630 MORAINVILLIERS ",chambourcy@transakauto.com,0139192766,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chambourcy
TransakAuto,Agence CHARTRES,"9 RUE DES CHÊNES, 26800 LUISANT",chartres@transakauto.com,06 49 50 38 62,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chartres
TransakAuto,Agence CHATEAUBRIANT,"8 RUE MARTIN LUTHER KING, 44110 CHATEAUBRIANT",chateaubriant@transakauto.com,02 53 35 01 50,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chateaubriant
TransakAuto,Agence CHATEAUROUX,"152 AV. DE LA CHÂTRE, 36000 CHATEAUROUX",chateauroux@transakauto.com,02 54 07 15 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chateauroux
TransakAuto,Agence CHELLES,"28 AVENUE JEAN JAURES, 77177 BROU SUR CHANTEREINE",chelles@transakauto.com,01 64 11 09 57,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-chelles
TransakAuto,Agence CHERBOURG-EN-COTENTIN,"1 RUE DE BATAVIA, 50100 CHERBOURG EN COTENTIN",cherbourg@transakauto.com,02 61 81 87 57,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cherbourg-en-cotentin
TransakAuto,Agence CHOLET,"99 D RUE PIERRE GILLES DE GENNES, 49300 CHOLET",cholet@transakauto.com,07 43 01 09 62,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-cholet
TransakAuto,Agence CLERMONT FERRAND SUD,"8 AV. JEAN CURABET, 63170 AUBIÈRE",clermont-ferrandsud@transakauto.com,04 73 14 00 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-clermont-ferrand-sud
TransakAuto,Agence COMPIEGNE,"364 AVENUE JEAN MOULIN, 60880 JAUX",compiegne@transakauto.com,03 44 23 89 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-compiegne
TransakAuto,Agence CONFLANS-SAINTE-HONORINE,"245 RUE DE L'AMBASSADEUR, 78700 CONFLANS-SAINTE-HONORINE",conflans@transakauto.com,06 15 55 31 66,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-conflans-sainte-honorine
TransakAuto,Agence DAMMARTIN EN GOELE,"2 ROUTE DE PARIS, 60330 LAGNY LE SEC",dammartin-en-goele@transakauto.com,06 66 08 99 82,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dammartin-en-goele-sas-izauto
TransakAuto,Agence DAVEZIEUX,"130 RUE DU MAS, 74300 DAVÉZIEUX",annonay@transakauto.com,09 88 07 81 92,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-davezieux
TransakAuto,Agence DAX,"901 ROUTES DES PYRÉNÉES, 40180 NARROSSE",dax@transakauto.com,05 25 26 12 13,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dax
TransakAuto,Agence DEAUVILLE,"1 RUE PASTEUR, 14130 PONT L'EVEQUE",deauville@transakauto.com,06 09 41 91 76,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-deauville
TransakAuto,Agence DIEPPE,"55 AVENUE VAUBAN, 76200 DIEPPE",dieppe@transakauto.com,06 23 21 57 93,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dieppe
TransakAuto,Agence DIJON,"6 IMPASSE DES BOUSSENOTS, 21800 QUETIGNY",dijon@transakauto.com,03 80 23 63 62,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dijon
TransakAuto,Agence DOUAI,"965 RUE DU FAUBOURG D'ESQUERCHIN, 59553 CUINCY",douai@transakauto.com,06 42 71 37 49,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-douai
TransakAuto,Agence DRAGUIGNAN,"76 IMPASSE DES TOURTERELLES ZAC DES FERRIERES, 83490 LE MUY",draguignan@transakauto.com,04 89 25 08 07,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-draguignan
TransakAuto,Agence DREUX,"30 RUE ANDRE RAVALEE, 28100 DREUX",dreux@transakauto.com,02 59 16 19 18,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dreux
TransakAuto,Agence DUNKERQUE,"20 RUE DU COMMERCE, 59180 CAPPELLE-LA-GRANDE",dunkerque@transakauto.com,06 68 13 57 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-dunkerque
TransakAuto,Agence EAUNES,"8 BOULEVARD DE LA LEZE, 31600 EAUNES",eaunes@transakauto.com,05 61 76 50 48,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-eaunes
TransakAuto,Agence ELBEUF,"54 RUE RAYMOND SOUDAY, 76410 CLEON",elbeuf@transakauto.com,02 78 08 80 69,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-elbeuf
TransakAuto,Agence ENGHIEN-LES-BAINS,"20 RUE PASTEUR, 95880 ENGHIEN-LES-BAINS",enghienlesbains@transakauto.com,06 34 66 32 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-enghien-les-bains
TransakAuto,Agence EPINAL,"17 A IMPASSE DU BOVIDUC, 88190 GOLBEY",epinal@transakauto.com,03 29 37 82 40,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-epinal
TransakAuto,Agence ETAMPES,"41 RUE DE LA CROIX BOISSEE,, 91150 BRIERES-LES-SCELLES",etampes@transakauto.com,06 25 50 91 08,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-antibes
TransakAuto,"Agence ETANG-SALE, REUNION","AVENUE MICHEL DEBRE ZONE DES SABLES, 97427 ETANG-SALE",etang-sale@transakauto.com,06 93 01 81 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-etang-sale-la-reunion
TransakAuto,Agence EVREUX,"28 ROUTE DE MELLEVILLE, 27930 AGERVILLE LA CAMPAGNE",evreux@transakauto.com,02 32 23 52 87,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-evreux
TransakAuto,Agence FLERS,"31 AVENUE DE LA SUISSE NORMANDE, 61100 SAINT-GEORGES-DES-GROSEILLERS",flers@transakauto.com,02 59 15 25 31,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-flers
TransakAuto,Agence FONTAINEBLEAU,"1 RUE MONTCHAVANT, 77250 MORET LOING ET ORVANNE",fontainebleau@transakauto.com,01 83 88 95 50,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-fontainebleau
TransakAuto,Agence FRONTON,"7 RUE SERGE GRANIÉ, 82170 GRISOLLES",fronton@transakauto.com,05 82 81 94 98,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-fronton
TransakAuto,Agence GAP,"8 RUE DES COMPAGNONS ZONE FAUVINS 2, 5000 GAP",gap@transakauto.com,07 59 65 22 90,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-gap
TransakAuto,Agence GEX,"70 RUE LOUIS ET AUGUSTE LUMIÈRE, 1630 SAINT-GENIS-POUILLY",gex@transakauto.com,09 61 42 87 53,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-gex
TransakAuto,Agence GISORS,"20 rue de Dieppe, 27140 GISORS",gisors@transakauto.com,0685260130,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-gisors
TransakAuto,Agence GRASSE,"48 AVENUE DE LA LIBÉRATION, 06130 GRASSE",grasse@transakauto.com,04 22 23 92 93,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-grasse
TransakAuto,Agence GRENOBLE EST,"295 RUE DES SOURCES, 38920 CROLLES",grenobleest@transakauto.com,04 80 80 46 06,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-grenoble-est
TransakAuto,Agence GRENOBLE OUEST,"43 AVENUE DE LA RÉPUBLIQUE, 38170 SEYSSINET-PARISET",grenobleouest@transakauto.com,04 80 80 92 98,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-grenoble-ouest
TransakAuto,Agence HAGUENAU,"6 RUE DE L'ECORCAGE, 67590 SCHWEIGHOUSE-SUR-MODER",haguenau@transakauto.com,06 70 92 95 18,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-haguenau
TransakAuto,Agence L&rsquo;ISLE SUR LA SORGUE,"100 AVENUE DE LA PETITE MARINE, 84800 L'ISLE-SUR-LA-SORGUE",isle@transakauto.com,04 90 15 73 13,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-l-isle-sur-la-sorgue
TransakAuto,Agence LA ROCHE SUR YON,"1 RUE BENJAMIN FRANKLIN, 85190 VENANSAULT",laroche-sur-yon@transakauto.com,02 28 97 74 24,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-la-roche-sur-yon
TransakAuto,Agence LA ROCHELLE / AYTRE,"37 RUE AMPERE ZONE LA CORNE NEUVE, 17139 DOMPIERRE-SUR-MER",larochelle@transakauto.com,05 16 49 03 91,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-la-rochelle
TransakAuto,Agence LAMBALLE,"LA PETITE HOUSSAIE, 22400 SAINT-ALBAN",lamballe@transakauto.com,02 57 77 00 51,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lamballe
TransakAuto,Agence LANGON,"10 RUE ZAE ECOPOLE, 33190 LOUPIAC-DE-LA-REOLE",langon@transakauto.com,05 56 61 21 53,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-langon
TransakAuto,Agence LAON,"18 RUE JEAN-BAPTISTE COLBERT, 2000 CHAMBRY",laon@transakauto.com,06 70 84 13 07,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-laon
TransakAuto,Agence LAVAL,"34 BOULEVARD DE L'INDUSTRIE, 53940 SAINT BERTHEVIN",laval@transakauto.com,02 43 02 37 34,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-laval
TransakAuto,Agence LE HAVRE,"19 RUE PAUL VERLAINE, 76700 HARFLEUR",lehavre@transakauto.com,06 67 71 54 10,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-le-havre
TransakAuto,Agence LE MANS,"38 BOULEVARD D'ESTIENNE D'ORVES, 72100 LE MANS",lemans@transakauto.com,02 43 39 37 88,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-le-mans
TransakAuto,Agence LE RAINCY,"12 AVENUE DU GENERAL GALLIENI, 93250 VILLEMOMBLE",leraincy@transakauto.com,06 16 41 02 51,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-le-raincy
TransakAuto,Agence LE TOUQUET,"44 AVENUE DU CHAMP DE GRETZ, 62180 VERTON",letouquet@transakauto.com,03 21 84 11 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-le-touquet
TransakAuto,Agence LENS,"PARC D'ACTIVITÉS DU GARD, 1 RUE DU GARD, 62300 LENS",lens@transakauto.com,06 86 27 40 01,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lens
TransakAuto,Agence LES CLAYES SOUS BOIS,"10 RUE MAURICE JOUET, 78340 LES CLAYES SOUS BOIS",lesclayes@transakauto.com,07 61 40 94 36,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-les-clayes-sous-bois
TransakAuto,Agence LES SABLES D&rsquo;OLONNE,"38 AVENUE RENÉ COTY,, 85180 LES SABLES-D’OLONNE",lessablesdolonne@transakauto.com,02 51 01 72 11,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-les-sables-d-olonne
TransakAuto,Agence LIBOURNE,"26 BIS AVENUE DE L'EPINETTE, 33500 LIBOURNE",libourne@transakauto.com,05 57 50 51 40,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-libourne
TransakAuto,Agence LIEUSAINT,"555 AVENUE MARGUERITE PEREY, 77127 LIEUSAINT",lieusaint@transakauto.com,01 87 66 55 35,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lieusaint
TransakAuto,Agence LILLE,"501 RUE OBERT, 59118 WAMBRECHIES",lille@transakauto.com,07 60 03 78 49,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lille
TransakAuto,Agence LIMOGES,"44 RUE AUGUSTE COMTE, 87280 LIMOGES",limoges@transakauto.com,05 55 37 11 71,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-limoges
TransakAuto,Agence LONS LE SAUNIER,"745 BOULEVARD THÉODORE VERNIER, 39000 LONS-LE-SAUNIER",lonslesaunier@transakauto.com,06 27 06 06 11,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lons-le-saunier
TransakAuto,Agence LORIENT,"30 BOULEVARD LEON BLUM, 56100 LORIENT",lorient@transakauto.com,06 61 09 85 21,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lorient
TransakAuto,Agence LUNEL,"450 AVENUE DE MONTPELLIER, 34130 VALLERGUES",lunel@transakauto.com,04 67 71 37 86,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lunel
TransakAuto,Agence LYON 8 EME,"45 AVENUE PAUL SANTY, 69008 LYON",lyon8@transakauto.com,09 86 26 62 41,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lyon-8
TransakAuto,Agence LYON EST,"150 RUE GEORGES CHARPAK, 1390 CIVRIEUX",lyonest@transakauto.com,04 72 05 05 06,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lyon-est
TransakAuto,Agence LYON OUEST,"12 RUE DE LA PIERRE BLEUE, 69630 CHAPONOST",lyonouest@transakauto.com,04 78 56 27 99,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-lyon-ouest
TransakAuto,Agence MACON,"266 RUE DE BOURGOGNE, 71680 CRECHES-SUR-SAONE",macon@transakauto.com,03 85 20 64 39,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-macon
TransakAuto,Agence MANOSQUE,"96 ROUTE DE MARSEILLE, 04100 MANOSQUE",manosque@transakauto.com,04 22 91 19 29,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-manosque
TransakAuto,Agence MANTES-LA-JOLIE,"9 RUE COSTES ET BELLONTE, 78200 MANTES-LA-JOLIE",manteslajolie@transakauto.com,01 86 04 15 61,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-mantes-la-jolie
TransakAuto,Agence MARIGNANE,"63 AVENUE DU MARECHAL JUIN, 13700 MARIGNANE",marignane@transakauto.com,04 86 68 23 47,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-marignane
TransakAuto,Agence MAUBEUGE,"9 RUE PIERRE DE COUBERTIN, 59600 MAUBEUGE",maubeuge@transakauto.com,03 27 56 38 73,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-maubeuge
TransakAuto,Agence MEAUX,"204 RUE HENRI DE FRANCE, 77124 VILLENOY",meaux@transakauto.com,06 03 99 77 06,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-meaux
TransakAuto,Agence METZ,"4 RUE DU CHENE BRULE, 54700 LESMENILS",metz@transakauto.com,03 83 80 03 66,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-metz
TransakAuto,"Agence MONS, BELGIQUE","QUAI SUD 31/2, 7000 MONS",mons@transakauto.com,+32 65 67 62 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-mons
TransakAuto,Agence MONT DE MARSAN,"1144 AVENUE ELOI DUCOM, 40000 MONT DE MARSAN",mont-de-marsan@transakauto.com,05 24 28 12 71,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-mont-de-marsan
TransakAuto,Agence MONTARGIS,"110 RUE DE PAUCOURT, 45200 AMILLY",montargis@transakauto.com,02 34 05 69 22,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-montargis
